player,team,opponent,pitcher,hitter_hand,pitcher_hand,ab,pa,home_run,k_percent,bb_percent,slg_percent,on_base_plus_slg,isolated_power,xslg,xwoba,xiso,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,pa,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_plus_slg,isolated_power,babip,p_era,xslg,xwoba,xiso,exit_velocity_avg,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,pull_percent,batted_ball,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,batting_order,confirmed_lineup,public_attention
Cole Young,SEA,BAL,Trey Gibson,L,RHP,233.0,263.0,4.0,19.8,7.6000000000000005,0.356,0.68,0.10300000000000001,0.406,0.329,0.137,71.60000000000001,87.5,17.1,36.800000000000004,5.4,36.800000000000004,55.0,2.0,9.1,12.700000000000001,0.271,0.438,0.802,0.167,0.268,3.65,0.551,0.405,0.248,92.9,6.0,14.0,44.2,83.12045409,96.12119372000001,12.600000000000001,41.900000000000006,43.0,55.800000000000004,23.3,20.900000000000002,0.0,Oriole Park at Camden Yards,108,74,6,In From RF,1,Yes,
Julio Rodríguez,SEA,BAL,Trey Gibson,R,RHP,267.0,291.0,13.0,21.3,7.2,0.457,0.773,0.199,0.463,0.338,0.201,76.7,90.30000000000001,13.0,30.6,9.200000000000001,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,2,Yes,
Josh Naylor,SEA,BAL,Trey Gibson,L,RHP,241.0,266.0,6.0,13.5,7.9,0.361,0.682,0.10400000000000001,0.40900000000000003,0.327,0.134,70.10000000000001,87.80000000000001,14.100000000000001,31.1,5.300000000000001,38.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,3,Yes,
Randy Arozarena,SEA,BAL,Trey Gibson,R,RHP,242.0,282.0,6.0,22.3,9.600000000000001,0.442,0.8180000000000001,0.157,0.425,0.353,0.158,71.0,91.5,7.9,38.5,7.7,42.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,4,Yes,
Luke Raley,SEA,BAL,Trey Gibson,L,RHP,170.0,187.0,13.0,33.2,4.800000000000001,0.535,0.854,0.276,0.554,0.374,0.289,75.3,90.10000000000001,15.8,40.0,19.1,46.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,5,Yes,
Dominic Canzone,SEA,BAL,Trey Gibson,L,RHP,140.0,157.0,8.0,21.700000000000003,8.3,0.521,0.859,0.25,0.53,0.377,0.244,74.5,93.60000000000001,13.3,38.900000000000006,16.7,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,6,Yes,
Patrick Wisdom,SEA,BAL,Trey Gibson,R,RHP,28.0,30.0,1.0,43.300000000000004,6.7,0.28600000000000003,0.486,0.14300000000000002,0.355,0.243,0.17400000000000002,76.7,92.5,24.700000000000003,33.300000000000004,20.0,53.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,7,Yes,
Colt Emerson,SEA,BAL,Trey Gibson,L,RHP,62.0,69.0,4.0,30.400000000000002,7.2,0.548,0.867,0.306,0.257,0.232,0.099,72.4,88.0,18.3,36.6,4.9,31.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Jhonny Pereda,SEA,BAL,Trey Gibson,R,RHP,48.0,53.0,2.0,13.200000000000001,7.5,0.417,0.775,0.125,0.465,0.38,0.13,71.2,90.60000000000001,13.100000000000001,48.800000000000004,4.9,48.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,8,Yes,
Taylor Ward,BAL,SEA,Emerson Hancock,R,RHP,239.0,298.0,3.0,21.1,18.8,0.36,0.756,0.105,0.371,0.34900000000000003,0.11900000000000001,68.10000000000001,89.4,13.8,36.0,5.1000000000000005,40.400000000000006,271.0,10.0,25.8,5.5,0.20600000000000002,0.36,0.618,0.154,0.243,2.8000000000000003,0.441,0.321,0.192,90.0,19.0,10.5,43.7,78.95004593,94.84291033,23.5,38.300000000000004,183.0,42.6,27.900000000000002,21.3,8.200000000000001,Oriole Park at Camden Yards,108,74,6,In From RF,1,Yes,
Gunnar Henderson,BAL,SEA,Emerson Hancock,L,RHP,275.0,298.0,13.0,25.8,6.4,0.418,0.6970000000000001,0.196,0.399,0.303,0.164,74.4,89.10000000000001,11.9,30.700000000000003,9.0,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,2,Yes,
Pete Alonso,BAL,SEA,Emerson Hancock,R,RHP,251.0,284.0,13.0,22.5,10.600000000000001,0.446,0.77,0.203,0.514,0.37,0.242,74.5,95.0,14.700000000000001,32.300000000000004,12.200000000000001,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,3,Yes,
Colton Cowser,BAL,SEA,Emerson Hancock,L,RHP,127.0,146.0,6.0,28.8,11.0,0.40900000000000003,0.733,0.165,0.428,0.315,0.216,75.0,85.7,8.5,30.700000000000003,12.5,30.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,4,Yes,
Leody Taveras,BAL,SEA,Emerson Hancock,S,RHP,163.0,192.0,2.0,21.900000000000002,11.5,0.368,0.717,0.11,0.343,0.307,0.10200000000000001,72.7,86.4,15.700000000000001,33.1,3.9000000000000004,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,5,Yes,
Jackson Holliday,BAL,SEA,Emerson Hancock,L,RHP,49.0,58.0,2.0,27.6,13.8,0.40800000000000003,0.736,0.184,0.40700000000000003,0.338,0.17200000000000001,70.5,89.30000000000001,16.8,44.1,8.8,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,6,Yes,
Coby Mayo,BAL,SEA,Emerson Hancock,R,RHP,162.0,178.0,8.0,31.5,7.300000000000001,0.383,0.647,0.185,0.383,0.294,0.165,75.60000000000001,91.7,19.5,27.1,10.3,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,7,Yes,
Blaze Alexander,BAL,SEA,Emerson Hancock,R,RHP,137.0,152.0,2.0,25.0,6.6000000000000005,0.394,0.723,0.117,0.431,0.338,0.135,72.60000000000001,92.30000000000001,9.8,42.2,4.9,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,8,Yes,
Sam Huff,BAL,SEA,Emerson Hancock,R,RHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,9,Yes,
Jarren Duran,BOS,TB,Ian Seymour,L,LHP,236.0,259.0,10.0,28.200000000000003,6.9,0.394,0.668,0.182,0.395,0.302,0.163,75.3,90.60000000000001,14.4,30.900000000000002,11.700000000000001,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,1,Yes,
Ceddanne Rafaela,BOS,TB,Ian Seymour,R,LHP,213.0,233.0,5.0,20.6,6.0,0.432,0.78,0.146,0.363,0.301,0.11800000000000001,69.8,87.10000000000001,10.100000000000001,37.6,6.800000000000001,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,2,Yes,
Wilyer Abreu,BOS,TB,Ian Seymour,L,LHP,241.0,268.0,7.0,19.0,9.0,0.423,0.764,0.145,0.47200000000000003,0.34800000000000003,0.2,73.60000000000001,89.80000000000001,17.400000000000002,33.7,11.5,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,3,Yes,
Willson Contreras,BOS,TB,Ian Seymour,R,LHP,215.0,253.0,13.0,24.900000000000002,9.9,0.54,0.931,0.242,0.537,0.399,0.258,76.4,90.60000000000001,16.5,34.2,15.700000000000001,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,4,Yes,
Mickey Gasper,BOS,TB,Ian Seymour,S,LHP,66.0,73.0,0.0,24.700000000000003,5.5,0.379,0.726,0.076,0.358,0.292,0.115,71.7,92.60000000000001,16.900000000000002,34.0,6.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,5,Yes,
Caleb Durbin,BOS,TB,Ian Seymour,R,LHP,182.0,200.0,1.0,14.5,5.5,0.291,0.544,0.099,0.295,0.268,0.065,68.2,85.30000000000001,8.1,23.700000000000003,1.9000000000000001,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,6,Yes,
Isiah Kiner-Falefa,BOS,TB,Ian Seymour,R,LHP,90.0,99.0,1.0,15.200000000000001,8.1,0.333,0.66,0.066,0.34700000000000003,0.301,0.082,68.2,83.4,10.700000000000001,38.2,4.0,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,7,Yes,
Marcelo Mayer,BOS,TB,Ian Seymour,L,LHP,165.0,184.0,2.0,17.900000000000002,6.5,0.291,0.5700000000000001,0.073,0.292,0.257,0.091,74.8,86.80000000000001,9.4,27.400000000000002,6.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,8,Yes,
Carlos Narváez,BOS,TB,Ian Seymour,R,LHP,112.0,125.0,2.0,30.400000000000002,8.0,0.313,0.603,0.099,0.334,0.28400000000000003,0.111,71.5,91.5,14.3,38.7,6.7,37.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,9,Yes,
Yandy Díaz,TB,BOS,Connelly Early,R,LHP,228.0,258.0,11.0,12.8,8.5,0.526,0.925,0.201,0.485,0.374,0.186,73.60000000000001,90.9,5.9,28.6,8.8,46.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,1,Yes,
Austin Slater,TB,BOS,Connelly Early,R,LHP,43.0,49.0,0.0,30.6,10.200000000000001,0.233,0.519,0.024,0.246,0.233,0.065,71.4,85.7,11.9,34.5,3.4000000000000004,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,2,Yes,
Junior Caminero,TB,BOS,Connelly Early,R,LHP,235.0,274.0,14.0,15.3,13.9,0.498,0.874,0.221,0.484,0.373,0.20600000000000002,79.9,92.30000000000001,8.4,25.3,11.9,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,3,Yes,
Ryan Vilade,TB,BOS,Connelly Early,R,LHP,91.0,104.0,3.0,19.200000000000003,9.600000000000001,0.451,0.801,0.165,0.379,0.307,0.134,76.0,89.80000000000001,16.5,32.4,4.1000000000000005,37.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,4,Yes,
Jonathan Aranda,TB,BOS,Connelly Early,L,LHP,222.0,271.0,11.0,24.700000000000003,14.8,0.459,0.839,0.189,0.482,0.377,0.218,70.3,90.80000000000001,15.5,38.5,12.4,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,5,Yes,
Ben Williamson,TB,BOS,Connelly Early,R,LHP,129.0,147.0,0.0,20.400000000000002,10.9,0.326,0.675,0.062,0.332,0.305,0.08,69.9,88.80000000000001,3.4000000000000004,32.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,6,Yes,
Taylor Walls,TB,BOS,Connelly Early,S,LHP,140.0,166.0,0.0,25.900000000000002,11.4,0.279,0.59,0.07200000000000001,0.219,0.23800000000000002,0.048,67.5,82.60000000000001,20.0,27.5,2.0,15.700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,7,Yes,
Nick Fortes,TB,BOS,Connelly Early,R,LHP,146.0,156.0,1.0,12.8,2.6,0.308,0.585,0.068,0.32,0.269,0.074,72.4,86.80000000000001,7.4,22.700000000000003,0.8,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,8,Yes,
Cedric Mullins,TB,BOS,Connelly Early,L,LHP,187.0,215.0,5.0,17.7,8.4,0.294,0.561,0.112,0.301,0.258,0.12,70.5,88.2,29.200000000000003,28.1,3.3000000000000003,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,9,Yes,
Trent Grisham,NY,CLE,Gavin Williams,L,RHP,207.0,245.0,8.0,16.3,14.700000000000001,0.401,0.736,0.179,0.445,0.353,0.2,69.8,90.30000000000001,17.2,34.300000000000004,12.4,43.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,1,Yes,
Ben Rice,NY,CLE,Gavin Williams,L,RHP,214.0,250.0,18.0,24.0,12.8,0.64,1.032,0.341,0.54,0.396,0.256,72.3,92.30000000000001,14.200000000000001,42.300000000000004,16.7,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,2,Yes,
Paul Goldschmidt,NY,CLE,Gavin Williams,R,RHP,131.0,147.0,7.0,19.700000000000003,8.8,0.511,0.865,0.23600000000000002,0.493,0.369,0.215,71.4,87.7,14.600000000000001,37.300000000000004,11.8,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,3,Yes,
Cody Bellinger,NY,CLE,Gavin Williams,L,RHP,227.0,271.0,9.0,12.9,14.4,0.47600000000000003,0.849,0.203,0.464,0.377,0.17500000000000002,69.7,89.60000000000001,19.8,41.1,8.700000000000001,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,4,Yes,
Jazz Chisholm Jr.,NY,CLE,Gavin Williams,L,RHP,222.0,248.0,8.0,29.0,9.3,0.396,0.7020000000000001,0.162,0.36,0.28800000000000003,0.148,72.9,89.5,15.5,29.6,7.300000000000001,38.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,5,Yes,
Spencer Jones,NY,CLE,Gavin Williams,L,RHP,28.0,31.0,0.0,41.900000000000006,9.700000000000001,0.28600000000000003,0.609,0.036000000000000004,0.276,0.247,0.088,77.7,96.80000000000001,12.9,26.700000000000003,0.0,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,6,Yes,
José Caballero,NY,CLE,Gavin Williams,R,RHP,175.0,189.0,5.0,18.5,5.300000000000001,0.394,0.706,0.137,0.34,0.28400000000000003,0.1,68.5,83.2,10.4,31.400000000000002,2.9000000000000004,26.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,7,Yes,
Ryan McMahon,NY,CLE,Gavin Williams,L,RHP,159.0,172.0,6.0,31.400000000000002,7.0,0.34600000000000003,0.609,0.138,0.369,0.28200000000000003,0.151,74.60000000000001,90.60000000000001,12.700000000000001,29.200000000000003,9.5,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,8,Yes,
J.C. Escarra,NY,CLE,Gavin Williams,L,RHP,62.0,68.0,0.0,22.1,7.4,0.258,0.493,0.081,0.33,0.276,0.111,69.9,88.80000000000001,11.5,33.300000000000004,4.2,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,9,Yes,
Travis Bazzana,CLE,NY,Will Warren,L,RHP,133.0,152.0,4.0,18.400000000000002,10.5,0.444,0.799,0.17300000000000001,0.382,0.323,0.121,69.2,88.9,11.8,32.1,3.8000000000000003,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,1,Yes,
José Ramírez,CLE,NY,Will Warren,S,RHP,248.0,293.0,10.0,13.700000000000001,14.0,0.427,0.772,0.189,0.46,0.366,0.17400000000000002,70.0,90.5,20.0,36.5,7.1000000000000005,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,2,Yes,
Chase DeLauter,CLE,NY,Will Warren,L,RHP,227.0,255.0,7.0,12.9,10.200000000000001,0.405,0.734,0.149,0.41100000000000003,0.341,0.134,71.2,90.0,14.600000000000001,36.2,6.2,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,3,Yes,
Kyle Manzardo,CLE,NY,Will Warren,L,RHP,178.0,202.0,7.0,33.2,9.9,0.399,0.716,0.169,0.401,0.316,0.17400000000000002,70.10000000000001,88.60000000000001,17.400000000000002,35.7,12.5,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,4,Yes,
Daniel Schneemann,CLE,NY,Will Warren,L,RHP,169.0,187.0,4.0,28.900000000000002,9.600000000000001,0.355,0.66,0.124,0.371,0.302,0.137,71.2,87.5,10.700000000000001,37.4,6.1000000000000005,36.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,5,Yes,
Angel Martínez,CLE,NY,Will Warren,S,RHP,207.0,223.0,9.0,21.5,2.7,0.42,0.6890000000000001,0.188,0.391,0.295,0.14400000000000002,71.0,87.60000000000001,14.600000000000001,34.800000000000004,7.4,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,6,Yes,
Steven Kwan,CLE,NY,Will Warren,L,RHP,214.0,255.0,1.0,10.200000000000001,13.3,0.271,0.6000000000000001,0.051000000000000004,0.301,0.299,0.061,62.900000000000006,82.80000000000001,15.200000000000001,37.800000000000004,0.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,7,Yes,
Patrick Bailey,CLE,NY,Will Warren,S,RHP,125.0,135.0,2.0,24.400000000000002,6.7,0.224,0.424,0.08,0.367,0.278,0.149,73.0,89.80000000000001,12.200000000000001,28.0,6.5,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,8,Yes,
Brayan Rocchio,CLE,NY,Will Warren,S,RHP,207.0,238.0,5.0,12.200000000000001,8.8,0.406,0.766,0.126,0.37,0.319,0.114,70.10000000000001,86.80000000000001,12.0,33.0,3.4000000000000004,32.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive Field,100,81,10,Varies,9,Yes,
Kyle Schwarber,PHI,TOR,Patrick Corbin,L,LHP,235.0,279.0,23.0,34.1,14.3,0.579,0.937,0.341,0.53,0.378,0.295,77.0,93.10000000000001,21.700000000000003,37.9,22.1,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,1,Yes,
Trea Turner,PHI,TOR,Patrick Corbin,R,LHP,262.0,282.0,7.0,21.6,6.7,0.34700000000000003,0.627,0.11800000000000001,0.364,0.29,0.123,71.5,89.30000000000001,10.600000000000001,33.2,5.4,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,2,Yes,
Bryce Harper,PHI,TOR,Patrick Corbin,L,LHP,227.0,269.0,14.0,18.6,14.5,0.507,0.875,0.243,0.5690000000000001,0.41300000000000003,0.278,74.10000000000001,89.80000000000001,12.5,37.2,13.9,43.900000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,3,Yes,
Brandon Marsh,PHI,TOR,Patrick Corbin,L,LHP,213.0,228.0,8.0,22.8,4.800000000000001,0.521,0.889,0.183,0.46900000000000003,0.34500000000000003,0.166,71.60000000000001,90.5,12.8,47.0,8.0,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,4,Yes,
Alec Bohm,PHI,TOR,Patrick Corbin,R,LHP,223.0,245.0,7.0,14.3,6.9,0.359,0.641,0.135,0.354,0.295,0.11,70.8,90.5,11.100000000000001,35.6,3.7,42.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,5,Yes,
J.T. Realmuto,PHI,TOR,Patrick Corbin,R,LHP,138.0,157.0,3.0,17.8,8.3,0.304,0.603,0.094,0.39,0.327,0.134,73.4,89.0,10.9,31.5,4.5,42.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,6,Yes,
Bryson Stott,PHI,TOR,Patrick Corbin,L,LHP,202.0,220.0,6.0,17.3,6.4,0.371,0.642,0.153,0.399,0.306,0.149,70.10000000000001,89.9,16.2,32.300000000000004,7.800000000000001,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,7,Yes,
Adolis García,PHI,TOR,Patrick Corbin,R,LHP,221.0,248.0,6.0,31.5,8.1,0.326,0.6000000000000001,0.127,0.361,0.295,0.139,71.7,92.0,14.9,38.400000000000006,8.9,47.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,8,Yes,
Edmundo Sosa,PHI,TOR,Patrick Corbin,R,LHP,95.0,103.0,3.0,23.3,2.9000000000000004,0.326,0.561,0.126,0.457,0.334,0.17200000000000001,72.2,87.30000000000001,9.4,32.9,8.200000000000001,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,9,Yes,
George Springer,TOR,PHI,Cristopher Sánchez,R,LHP,174.0,197.0,5.0,18.3,9.1,0.35100000000000003,0.64,0.14400000000000002,0.372,0.301,0.148,72.5,87.80000000000001,14.4,30.400000000000002,8.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,1,Yes,
Nathan Lukes,TOR,PHI,Cristopher Sánchez,L,LHP,95.0,105.0,1.0,13.3,3.8000000000000003,0.41100000000000003,0.776,0.095,0.373,0.319,0.081,67.8,86.2,13.600000000000001,33.7,1.2000000000000002,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,2,Yes,
Vladimir Guerrero Jr.,TOR,PHI,Cristopher Sánchez,R,LHP,230.0,270.0,3.0,10.0,11.9,0.374,0.752,0.08700000000000001,0.428,0.36,0.123,76.2,90.60000000000001,8.9,30.0,6.800000000000001,44.900000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,3,Yes,
Kazuma Okamoto,TOR,PHI,Cristopher Sánchez,R,LHP,234.0,263.0,13.0,31.900000000000002,9.5,0.432,0.748,0.197,0.444,0.33,0.217,73.5,92.4,16.8,33.1,14.600000000000001,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,4,Yes,
Ernie Clement,TOR,PHI,Cristopher Sánchez,R,LHP,252.0,261.0,6.0,9.200000000000001,3.1,0.46,0.786,0.154,0.356,0.278,0.095,67.60000000000001,85.7,15.3,31.900000000000002,2.6,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,5,Yes,
Andrés Giménez,TOR,PHI,Cristopher Sánchez,L,LHP,210.0,226.0,6.0,18.6,3.5,0.357,0.624,0.133,0.311,0.262,0.088,68.10000000000001,85.9,10.200000000000001,26.900000000000002,3.5,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,6,Yes,
Myles Straw,TOR,PHI,Cristopher Sánchez,R,LHP,99.0,112.0,2.0,16.1,8.9,0.323,0.623,0.091,0.365,0.308,0.10200000000000001,69.10000000000001,86.60000000000001,16.0,29.8,4.800000000000001,27.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,7,Yes,
Tyler Heineman,TOR,PHI,Cristopher Sánchez,S,LHP,76.0,85.0,1.0,22.400000000000002,2.4000000000000004,0.211,0.421,0.053,0.248,0.227,0.051000000000000004,65.3,82.7,12.5,23.0,1.7000000000000002,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,8,Yes,
Yohendrick Piñango,TOR,PHI,Cristopher Sánchez,L,LHP,103.0,108.0,4.0,22.200000000000003,4.6000000000000005,0.456,0.789,0.155,0.434,0.326,0.149,75.60000000000001,91.4,10.100000000000001,36.7,7.6000000000000005,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Centre,105,68,12,R To L,9,Yes,
